filename,width,height,class,xmin,ymin,xmax,ymax
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Balcony,539,369,607,581
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Bedroom,20,350,201,585
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Bedroom,437,122,620,357
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Kitchen,128,122,249,350
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,utility,126,31,251,122
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,toilet,342,120,433,295
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,toilet,255,123,337,289
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Living Room,343,364,535,580
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Dining Room,204,362,340,574
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Dining table,243,401,336,519
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Sofa,422,364,499,418
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Sofa,383,409,424,496
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Bed,495,133,592,263
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Bed,20,394,124,510
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,door,341,296,383,354
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,door,211,522,270,585
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,door,155,357,207,414
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,tv,402,555,520,581
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,tv,502,331,571,353
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Wardrobe,439,131,470,295
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,Wardrobe,18,543,193,578
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,stove,133,185,166,234
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,sink,215,135,244,200
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,sink,357,253,384,291
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,sink,259,251,284,285
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,commode,264,210,294,236
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,commode,357,208,388,232
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,kitchen-slab,214,131,248,296
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,kitchen-slab,130,129,164,294
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,fridge,134,293,169,348
Screenshot-2023-12-12-115604_png.rf.116cbf54f0d49635cd4b75c27a47c9af.jpg,640,640,washing-machine,213,42,244,84
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,utility,235,479,289,546
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Bedroom,56,80,162,228
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Balcony,31,234,89,478
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Bedroom,58,481,184,613
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Dining table,210,379,276,441
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,toilet,185,551,260,613
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Balcony,262,16,353,73
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,toilet,163,78,210,150
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Kitchen,284,325,354,550
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,toilet,213,78,260,175
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Dining Room,199,334,283,473
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Bedroom,262,78,354,228
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,balcoa,11,538,53,613
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Bed,75,152,119,227
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Bed,295,108,354,167
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Bed,106,534,152,611
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Wardrobe,58,485,76,550
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Wardrobe,58,81,159,103
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Wardrobe,292,205,354,228
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Wardrobe,216,487,233,546
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,balcoa,28,125,55,212
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,commode,241,86,251,102
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,commode,189,125,201,144
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,commode,209,586,220,606
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,wash,164,157,210,230
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Wardrobe,209,178,260,191
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Wardrobe,260,234,306,256
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,study,95,234,214,335
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Foyer,216,257,310,318
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Living Room,94,336,200,476
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Sofa,101,347,119,395
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,Sofa,102,348,162,371
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,tv,117,461,155,473
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,dress,184,479,233,548
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,door,186,478,213,517
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,door,86,358,98,453
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,door,85,255,100,320
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,door,275,271,312,320
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,door,182,551,212,584
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,kitchen-slab,284,325,353,347
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,kitchen-slab,335,326,353,546
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,kitchen-slab,258,524,354,547
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,stove,336,400,354,428
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,sink,259,526,290,546
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,sink,190,595,202,610
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,sink,215,116,226,134
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,sink,190,156,206,174
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,door,163,119,188,155
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,door,235,106,262,140
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,door,279,68,336,83
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,door,133,190,164,228
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,door,51,127,60,207
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,door,260,189,289,229
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,door,50,546,62,613
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,duct,235,57,260,75
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,fridge,262,325,284,347
Engrace-2-BC-6_JPG.rf.f4196b774b2345f391da8fd294083a27.jpg,640,640,washing-machine,236,524,258,546
Screenshot-2023-12-12-120023_png.rf.46431cc6689db16a2409333f2b152ff6.jpg,640,640,Bedroom,43,290,209,479
Screenshot-2023-12-12-120023_png.rf.46431cc6689db16a2409333f2b152ff6.jpg,640,640,Bedroom,480,122,620,302
Screenshot-2023-12-12-120023_png.rf.46431cc6689db16a2409333f2b152ff6.jpg,640,640,Bedroom,344,70,477,243
Screenshot-2023-12-12-120023_png.rf.46431cc6689db16a2409333f2b152ff6.jpg,640,640,Foyer,212,486,285,610
Screenshot-2023-12-12-120023_png.rf.46431cc6689db16a2409333f2b152ff6.jpg,640,640,Wardrobe,131,486,208,561
Screenshot-2023-12-12-120023_png.rf.46431cc6689db16a2409333f2b152ff6.jpg,640,640,toilet,65,478,140,613
Screenshot-2023-12-12-120023_png.rf.46431cc6689db16a2409333f2b152ff6.jpg,640,640,toilet,405,306,511,380
Screenshot-2023-12-12-120023_png.rf.46431cc6689db16a2409333f2b152ff6.jpg,640,640,Living Room,212,295,400,478
Screenshot-2023-12-12-120023_png.rf.46431cc6689db16a2409333f2b152ff6.jpg,640,640,Dining Room,212,136,342,286
Screenshot-2023-12-12-120023_png.rf.46431cc6689db16a2409333f2b152ff6.jpg,640,640,utility,115,208,211,286
Screenshot-2023-12-12-120023_png.rf.46431cc6689db16a2409333f2b152ff6.jpg,640,640,Kitchen,113,40,217,199
